NODENAME;JOBID;STEPID;USERID;GROUPID;JOBNAME;USER_ACC;ENERGY_TAG;POLICY;POLICY_TH;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;CPU-GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DP_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC
gs24r3b48;19471007;0;nct01043; ;bt-mz;nct_321; ;monitoring;0.000000;2873571;1139088;2001000;165.338929;1.000000;8235686839808.000000;49.810936;0.041999;68.363991;867.015498;7.620817;696.314682;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs24r3b48;19471007;1;nct01043; ;bt-mz;nct_321; ;monitoring;0.000000;2884642;1424247;2001000;83.920487;1.000000;5766372427968.000000;68.712333;0.015635;37.373654;875.678350;8.805769;699.372528;56;56;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs24r3b48;19471007;2;nct01043; ;bt-mz;nct_321; ;monitoring;0.000000;2870000;1468463;2001000;65.411159;1.000000;4283168514944.000000;65.480701;0.004386;14.113757;869.047977;8.625096;699.563752;14;14;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs24r3b48;19471007;3;nct01043; ;bt-mz;nct_321; ;monitoring;0.000000;2870000;1541063;2001000;66.617181;1.000000;3941061260416.000000;59.159832;0.003241;14.054825;880.614740;8.268811;699.616315;8;8;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs24r3b48;19471007;4;nct01043; ;bt-mz;nct_321; ;monitoring;0.000000;2890000;1971085;2001000;85.155509;1.000000;3416291151552.000000;40.118264;0.001512;10.021850;851.075459;7.412576;698.979161;2;2;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs24r3b48;19471007;5;nct01043; ;bt-mz;nct_321; ;monitoring;0.000000;2900000;2209742;2001000;126.165238;1.000000;9074774685952.000000;71.927694;0.001702;4.850452;882.433153;8.825602;695.204147;1;1;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
