NODENAME;JOBID;STEPID;USERID;GROUPID;JOBNAME;USER_ACC;ENERGY_TAG;POLICY;POLICY_TH;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;CPU-GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DP_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC
gs24r3b17;19471014;0;nct01043; ;bt-mz;nct_321; ;monitoring;0.000000;2863928;988156;2001000;166.631416;1.000000;5562916628096.000000;33.384561;0.017111;72.498784;885.723298;7.394712;698.479941;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs24r3b17;19471014;1;nct01043; ;bt-mz;nct_321; ;monitoring;0.000000;2940000;1484939;2001000;79.842637;1.000000;6468734042560.000000;81.018542;0.014240;44.339926;898.204521;9.116001;698.832781;56;56;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs24r3b17;19471014;2;nct01043; ;bt-mz;nct_321; ;monitoring;0.000000;2900000;1396055;2001000;50.132024;1.000000;3188555613504.000000;63.603169;0.009045;14.547994;891.628876;8.601254;699.444469;14;14;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs24r3b17;19471014;3;nct01043; ;bt-mz;nct_321; ;monitoring;0.000000;2900000;1450100;2001000;50.888053;1.000000;2963443511872.000000;58.234563;0.010354;14.325781;909.866966;8.337281;699.246581;8;8;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs24r3b17;19471014;4;nct01043; ;bt-mz;nct_321; ;monitoring;0.000000;2900000;1931502;2001000;64.890365;1.000000;2558506949120.000000;39.428149;0.001984;10.832871;897.776086;7.513214;698.881141;2;2;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs24r3b17;19471014;5;nct01043; ;bt-mz;nct_321; ;monitoring;0.000000;2901071;2175236;2001000;96.121038;1.000000;6424129747968.000000;66.833753;0.001760;9.492583;898.687856;8.749194;694.301451;1;1;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
