JOBID;STEPID;NODENAME;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;ITER_TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DPOPS_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC;LOOPID;LOOP_NEST_LEVEL;LOOP_SIZE;TIMESTAMP;ELAPSED;DATE
19471024;0;gs07r2b10;2669821;1887261;2001000;0.071884;1.000000;1884778854624.176025;204.840660;0.065474;37.173205;906.117955;13.762654;699.109372;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;2147483647;1;8;1745093001;11;19-04-2025 22:03:21
19471024;0;gs07r2b10;2660000;1884312;2001000;0.072668;1.000000;2102167997462.229980;205.165262;0.001058;36.927718;895.576397;13.793222;698.579911;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;2147483647;1;8;1745093012;21;19-04-2025 22:03:32
19471024;0;gs07r2b10;2660000;1881827;2001000;0.074165;1.000000;4202955795182.757324;205.328374;0.000539;36.775829;904.084114;13.791909;698.686020;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;2147483647;1;8;1745093033;42;19-04-2025 22:03:53
19471024;0;gs07r2b10;2650000;1881894;2001000;0.073564;1.000000;4206874266269.934082;204.969056;0.000537;37.113030;904.488581;13.779846;698.644380;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;2147483647;1;8;1745093053;62;19-04-2025 22:04:13
19471024;0;gs07r2b10;2660000;1882236;2001000;0.072752;1.000000;4201884621054.862793;205.537124;0.000539;36.644205;910.467635;13.803821;698.703720;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;2147483647;1;8;1745093074;83;19-04-2025 22:04:34
19471024;0;gs07r2b10;2660000;1882330;2001000;0.074325;1.000000;4201599138802.119141;205.563139;0.000532;36.631329;904.550698;13.816421;698.614032;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;2147483647;1;8;1745093095;104;19-04-2025 22:04:55
19471024;0;gs07r2b10;2650000;1881937;2001000;0.075603;1.000000;4205921515763.340820;205.282643;0.000538;36.956699;905.720991;13.820170;698.668595;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;2147483647;1;8;1745093115;124;19-04-2025 22:05:15
19471024;1;gs07r2b10;2750000;1944332;2001000;1.001421;1.000000;2155452085732.214111;215.239289;0.010966;0.014758;843.891477;14.335261;698.663453;56;56;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1745093181;32;19-04-2025 22:06:21
19471024;1;gs07r2b10;2740535;1946563;2001000;1.101623;1.000000;2387125135128.806152;216.691579;0.000491;0.309619;936.484828;14.391019;698.578051;56;56;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1745093193;44;19-04-2025 22:06:33
19471024;1;gs07r2b10;2740535;1946163;2001000;1.201325;1.000000;2604710051543.606445;216.819676;0.000450;0.000000;938.648268;14.401225;698.738485;56;56;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1745093205;56;19-04-2025 22:06:45
