NODENAME;JOBID;STEPID;USERID;GROUPID;JOBNAME;USER_ACC;ENERGY_TAG;POLICY;POLICY_TH;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;CPU-GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DP_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC
gs24r3b49;19471007;0;nct01043; ;bt-mz;nct_321; ;monitoring;0.000000;2910178;1072943;2001000;164.600568;1.000000;6097408297088.000000;37.043665;0.018097;71.147366;843.716714;7.374733;696.860663;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs24r3b49;19471007;1;nct01043; ;bt-mz;nct_321; ;monitoring;0.000000;2893214;1500939;2001000;84.339870;1.000000;6045554667328.000000;71.680863;0.043645;33.606753;855.116902;8.946819;697.900570;56;56;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs24r3b49;19471007;2;nct01043; ;bt-mz;nct_321; ;monitoring;0.000000;2890000;1538062;2001000;65.433473;1.000000;4273635877568.000000;65.312686;0.006020;15.222334;849.709854;8.773893;699.319550;14;14;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs24r3b49;19471007;3;nct01043; ;bt-mz;nct_321; ;monitoring;0.000000;2896785;1598532;2001000;66.657471;1.000000;3939048872320.000000;59.093884;0.007606;14.644926;851.139173;8.437150;699.096633;8;8;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs24r3b49;19471007;4;nct01043; ;bt-mz;nct_321; ;monitoring;0.000000;2900000;2048567;2001000;85.166903;1.000000;3433736662592.000000;40.317735;0.001544;12.189276;851.390808;7.577877;698.965601;2;2;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs24r3b49;19471007;5;nct01043; ;bt-mz;nct_321; ;monitoring;0.000000;2900357;2260010;2001000;126.160807;1.000000;9293879804736.000000;73.666934;0.001702;8.431912;851.516857;9.046459;693.639320;1;1;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
