NODENAME;JOBID;STEPID;USERID;GROUPID;JOBNAME;USER_ACC;ENERGY_TAG;POLICY;POLICY_TH;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;CPU-GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DP_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC
gs29r3b04;19471035;0;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2600000;1865068;2001000;213.892873;1.000000;39709245297088.000000;185.650156;0.018884;54.041049;901.397351;12.585282;698.188483;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs29r3b04;19471035;1;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2550000;1862909;2001000;111.146507;1.000000;31997472514496.000000;287.885543;0.011183;5.543424;925.663569;16.793910;699.340939;56;56;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs29r3b04;19471035;2;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2890000;1921760;2001000;111.776567;1.000000;18201870377024.000000;162.841559;0.004552;15.934518;908.680934;12.284013;698.636867;14;14;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs29r3b04;19471035;3;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2900000;1964776;2001000;116.655738;1.000000;16880372352384.000000;144.702461;0.002164;12.837189;907.203095;11.499357;698.506232;8;8;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs29r3b04;19471035;4;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2902499;2335053;2001000;189.269420;1.000000;15885742515008.000000;83.931903;0.001619;5.785963;891.712155;9.000224;698.793042;2;2;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs29r3b04;19471035;5;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2975714;2448021;2001000;463.565757;1.000000;44819135059904.000000;96.683446;0.001575;5.141337;877.470820;9.666583;685.887550;1;1;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
