NODENAME;JOBID;STEPID;USERID;GROUPID;JOBNAME;USER_ACC;ENERGY_TAG;POLICY;POLICY_TH;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;CPU-GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DP_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC
gs13r1b45;19488975;0;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2582142;1888483;2001000;140.299841;1.000000;15549141647936.000000;110.827935;0.049042;70.537507;894.050040;10.286227;697.681380;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs13r1b45;19488975;1;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2810000;1970574;2001000;94.910934;1.000000;19671348795520.000000;207.261144;0.012441;26.474634;887.130028;13.774775;698.907270;56;56;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs13r1b45;19488975;2;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2920000;1965219;2001000;75.830557;1.000000;11971705797952.000000;157.874428;0.004094;18.601111;896.564165;12.311132;698.564228;14;14;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs13r1b45;19488975;3;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2900714;2048175;2001000;80.769716;1.000000;11263030718912.000000;139.446209;0.009999;19.161159;899.927540;11.532643;698.478333;8;8;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs13r1b45;19488975;4;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2902321;2390529;2001000;128.415718;1.000000;10637295709568.000000;82.834842;0.001242;8.351571;900.083572;9.153941;698.970424;2;2;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs13r1b45;19488975;5;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2975178;2494328;2001000;310.384717;1.000000;32150583275904.000000;103.583010;0.001571;7.742621;896.922114;10.126962;691.153050;1;1;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
