NODENAME;JOBID;STEPID;USERID;GROUPID;JOBNAME;USER_ACC;ENERGY_TAG;POLICY;POLICY_TH;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;CPU-GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DP_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC
gs15r3b36;19488971;0;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2510000;1818242;2001000;203.840683;1.000000;37432132928256.000000;183.634260;0.014322;54.474091;918.264054;13.147347;698.634822;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs15r3b36;19488971;1;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2490000;1811487;2001000;115.940672;1.000000;31167838196608.000000;268.825751;0.016108;11.456269;931.860729;16.694927;698.779938;56;56;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs15r3b36;19488971;2;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2918571;1820940;2001000;121.692887;1.000000;18168658029568.000000;149.299260;0.003694;21.211324;923.128922;12.216005;698.052864;14;14;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs15r3b36;19488971;3;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2920000;1878744;2001000;128.667070;1.000000;16831577843840.000000;130.814962;0.002062;18.854312;917.154907;11.370973;697.340020;8;8;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs15r3b36;19488971;4;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2920714;2270041;2001000;213.256054;1.000000;15881963889344.000000;74.473684;0.001581;14.165897;903.351980;8.990467;698.509304;2;2;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs15r3b36;19488971;5;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2979285;2416163;2001000;505.644892;1.000000;51552906246336.000000;101.954765;0.001566;5.741236;904.723206;10.291129;697.451828;1;1;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
