NODENAME;JOBID;STEPID;USERID;GROUPID;JOBNAME;USER_ACC;ENERGY_TAG;POLICY;POLICY_TH;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;CPU-GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DP_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC
gs13r3b43;19488948;0;nct01043; ;lu-mz;nct_321; ;monitoring;0.000000;2580000;1869024;2001000;181.988806;1.000000;40412907659776.000000;222.062601;0.015251;29.778081;898.287872;14.046562;698.589353;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs13r3b43;19488948;1;nct01043; ;lu-mz;nct_321; ;monitoring;0.000000;2640000;1895317;2001000;148.315238;1.000000;32706770119232.000000;220.521981;0.008713;0.141841;908.223592;14.091564;697.087900;56;56;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs13r3b43;19488948;2;nct01043; ;lu-mz;nct_321; ;monitoring;0.000000;2980000;1988376;2001000;143.190097;1.000000;15998620571392.000000;111.729937;0.002919;5.873522;879.003709;10.212896;687.789259;14;14;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs13r3b43;19488948;3;nct01043; ;lu-mz;nct_321; ;monitoring;0.000000;2770714;1938442;2001000;142.233088;1.000000;25917816876672.000000;182.220728;0.003760;38.739947;901.897360;12.897016;698.882598;8;8;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs13r3b43;19488948;4;nct01043; ;lu-mz;nct_321; ;monitoring;0.000000;2980000;2304342;2001000;245.306339;1.000000;11197753611392.000000;45.648040;0.001800;31.353931;820.250205;7.449664;654.680116;2;2;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs13r3b43;19488948;5;nct01043; ;lu-mz;nct_321; ;monitoring;0.000000;2980000;2468000;2001000;925.303118;1.000000;27466727457344.000000;29.684032;0.001530;126.866433;783.993256;6.785695;627.446259;1;1;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
