NODENAME;JOBID;STEPID;USERID;GROUPID;JOBNAME;USER_ACC;ENERGY_TAG;POLICY;POLICY_TH;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;CPU-GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DP_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC
gs04r3b14;19488982;0;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2570000;1863452;2001000;141.803603;1.000000;13900889396224.000000;98.029169;0.017543;74.107242;905.040605;10.022482;698.689495;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs04r3b14;19488982;1;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2690000;1911054;2001000;67.855250;1.000000;11974195390080.000000;176.466749;0.019175;42.345521;922.995190;13.074501;699.067037;56;56;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs04r3b14;19488982;2;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2920000;1903342;2001000;59.372094;1.000000;8917870586752.000000;150.203067;0.014974;21.329729;907.968234;12.250402;698.354180;14;14;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs04r3b14;19488982;3;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2909285;1962667;2001000;62.111166;1.000000;8358406090304.000000;134.571714;0.005033;17.359902;908.917049;11.569050;697.848654;8;8;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs04r3b14;19488982;4;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2902500;2313257;2001000;96.699762;1.000000;7868224645312.000000;81.367570;0.001538;7.365235;899.934627;9.373137;699.255401;2;2;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs04r3b14;19488982;5;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2974464;2450670;2001000;237.317365;1.000000;24887357360320.000000;104.869517;0.001608;3.299447;903.172138;10.490078;695.929046;1;1;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
