NODENAME;JOBID;STEPID;USERID;GROUPID;JOBNAME;USER_ACC;ENERGY_TAG;POLICY;POLICY_TH;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;CPU-GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DP_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC
gs04r3b06;19488982;0;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2770000;1419396;2001000;142.320425;1.000000;16915234307456.000000;118.853175;0.025830;69.874055;877.611646;10.421663;698.092207;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs04r3b06;19488982;1;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2600000;1886130;2001000;67.841643;1.000000;13224467487488.000000;194.931415;0.016514;36.085730;889.452944;13.819573;699.569421;56;56;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs04r3b06;19488982;2;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2910000;1895275;2001000;59.295438;1.000000;8905836313920.000000;150.194292;0.005828;21.126201;884.451998;12.123774;698.913734;14;14;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs04r3b06;19488982;3;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2910000;1950194;2001000;62.099510;1.000000;8362397534400.000000;134.661248;0.003832;17.334394;869.345900;11.432315;698.347983;8;8;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs04r3b06;19488982;4;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2902500;2304715;2001000;96.673360;1.000000;7865764761408.000000;81.364347;0.001490;7.619244;876.260168;9.198430;699.324924;2;2;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
gs04r3b06;19488982;5;nct01043; ;sp-mz;nct_321; ;monitoring;0.000000;2978214;2448028;2001000;237.305710;1.000000;24261700530624.000000;102.238166;0.001608;5.862351;876.396996;10.199836;696.779555;1;1;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0
