JOBID;STEPID;NODENAME;AVG_CPUFREQ_KHZ;AVG_IMCFREQ_KHZ;DEF_FREQ_KHZ;ITER_TIME_SEC;CPI;TPI;MEM_GBS;IO_MBS;PERC_MPI;DC_NODE_POWER_W;DRAM_POWER_W;PCK_POWER_W;CYCLES;INSTRUCTIONS;GFLOPS;L1_MISSES;L2_MISSES;L3_MISSES;SPOPS_SINGLE;SPOPS_128;SPOPS_256;SPOPS_512;DPOPS_SINGLE;DPOPS_128;DPOPS_256;DPOPS_512;GPU0_POWER_W;GPU0_FREQ_KHZ;GPU0_MEM_FREQ_KHZ;GPU0_UTIL_PERC;GPU0_MEM_UTIL_PERC;GPU1_POWER_W;GPU1_FREQ_KHZ;GPU1_MEM_FREQ_KHZ;GPU1_UTIL_PERC;GPU1_MEM_UTIL_PERC;GPU2_POWER_W;GPU2_FREQ_KHZ;GPU2_MEM_FREQ_KHZ;GPU2_UTIL_PERC;GPU2_MEM_UTIL_PERC;GPU3_POWER_W;GPU3_FREQ_KHZ;GPU3_MEM_FREQ_KHZ;GPU3_UTIL_PERC;GPU3_MEM_UTIL_PERC;LOOPID;LOOP_NEST_LEVEL;LOOP_SIZE;TIMESTAMP;ELAPSED;DATE
19488982;0;gs04r3b39;2570000;1835737;2001000;1.070125;1.000000;1199909924040.150146;112.128057;0.028213;71.842316;953.225447;10.215797;698.699851;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1745107083;26;20-04-2025 01:58:03
19488982;0;gs04r3b39;2579464;1822267;2001000;1.280030;1.000000;1442511727525.294922;112.693623;0.000861;71.768471;874.108380;10.233419;698.607311;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1745107095;39;20-04-2025 01:58:15
19488982;0;gs04r3b39;2570178;1830107;2001000;1.178477;1.000000;2644612400399.376465;112.204644;0.000459;71.840787;902.124033;10.194162;698.706429;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1745107119;63;20-04-2025 01:58:39
19488982;0;gs04r3b39;2570000;1830074;2001000;1.167377;1.000000;2646048959311.602539;113.333099;0.000482;71.485720;911.847069;10.244300;698.610774;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1745107142;86;20-04-2025 01:59:02
19488982;0;gs04r3b39;2570000;1831888;2001000;1.170977;1.000000;2646068483856.474121;112.985478;0.000471;71.635623;908.592759;10.244413;698.690550;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1745107166;110;20-04-2025 01:59:26
19488982;0;gs04r3b39;2570000;1833361;2001000;1.179478;1.000000;2653633011490.634277;112.491878;0.000460;71.764613;908.394869;10.220152;698.628616;112;112;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1745107189;133;20-04-2025 01:59:49
19488982;1;gs04r3b39;2669107;1912150;2001000;1.003723;1.000000;1801580623064.924072;179.489732;0.012808;41.437368;922.770265;12.947970;698.802957;56;56;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1745107234;29;20-04-2025 02:00:34
19488982;1;gs04r3b39;2670000;1914194;2001000;1.206728;1.000000;2166162222914.991211;179.507052;0.000448;40.829172;929.509644;12.937183;698.714894;56;56;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1745107246;41;20-04-2025 02:00:46
19488982;1;gs04r3b39;2670000;1912628;2001000;1.111626;1.000000;3946845425525.733887;177.525803;0.000245;41.680487;928.630483;12.890889;698.690053;56;56;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;1;1;1;1745107268;63;20-04-2025 02:01:08
19488982;2;gs04r3b39;2890000;1915428;2001000;0.019637;1.000000;1672490648142.155518;151.545112;0.006796;21.185800;955.498586;12.109504;701.459076;14;14;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;2147483647;0;15;1745107291;12;20-04-2025 02:01:31
19488982;2;gs04r3b39;2899642;1891517;2001000;0.019782;1.000000;1840542005478.636230;150.552098;0.000101;21.198918;926.794987;12.069833;697.668298;14;14;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;2147483647;0;15;1745107304;25;20-04-2025 02:01:44
19488982;2;gs04r3b39;2890000;1891440;2001000;0.020484;1.000000;3681592370787.996094;150.149159;0.000052;21.333036;873.235894;12.048370;697.444419;14;14;0.000000;0;0;0;0;0;0;0;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;0.000000;0;0;0;0;2147483647;0;15;1745107328;49;20-04-2025 02:02:08
